"15 killed, 30 injured as hotel wall collapses at wedding in Peru",At least 15 people were killed and more than 30 others injured during a wedding after a landslide following heavy rains caused a hotel wall to collapse in Peru on Sunday. As many as 100 guests had been invited to the wedding party and dozens of them had been dancing before being caught under the collapsing wall.
Want to get closer to Roger Federer's record: Djokovic,"After winning his 15th Grand Slam title on Sunday, Serbian tennis player Novak Djokovic said that he wants to get closer to Swiss tennis player Roger Federer's tally of 20 Grand Slam titles. ""I'm not trying to think too much [in] advance. I do want to definitely focus myself on continuing to improve my game,"" Djokovic added."
"Djoker Djemolition, tweets user on Djokovic's Aus Open win","Reacting to Novak Djokovic's win over Rafael Nadal to claim a record seventh Australian Open title, a user tweeted, ""Djoker Djemolition."" Other users reacted with tweets like, ""We're witnessing one of the all-time great finals performances here, sports fans"", and ""Take a bow @DjokerNole, Sheer domination throughout the tournament."""
Vinay Kumar gets angry at umpire as Pujara gets 2nd lifeline,"Karnataka bowler Vinay Kumar got angry at the umpire after Saurashtra batsman Cheteshwar Pujara was given not-out by the umpire following an edge to the wicket-keeper. Pujara escaped a dismissal on two occasions in the ongoing Ranji Trophy semi-final. Pujara, who went on to hit his 49th First-Class hundred, had earlier been given a reprieve in the match's first innings."
Not the way I wanted it in the final: Saina on Marin's injury,"Indian shuttler Saina Nehwal wished Carolina Marin a speedy recovery after Marin got injured midway during their title match at the Indonesia Masters on Sunday. ""Not the way I wanted it in the finals of #indonesiamasterssuper500... injuries are worst for players and it was very unfortunate to see @CarolinaMarin the best player in women's badminton to face it,"" tweeted Saina."
Malware 'Razy' spoofs search results to steal cryptocurrency,Research published by Kaspersky Lab has identified a Trojan malware named 'Razy' that installs malicious browser extensions and spoofs search results to steal cryptocurrency. Razy can alter cryptocurrency websites to show planted offers to buy or sell cryptocurrency and embed phishing sites on search results. It can also replace cryptocurrency wallet addresses with those owned by cybercriminals.
Indian-origin woman helps to make tech for driverless car AI,"Indian-origin MIT researcher Ramya Ramakrishnan, in a co-authored paper, describes method that can improve self-driving cars and robots' AI. As per method, researchers put an AI system through simulation training and asked a human to monitor its activities and give feedback. They then combined human inputs with training data to pinpoint situations where AI needed more data to act correctly."
"Wife, I will fight for Navnirman of country: Newlywed Hardik","Patidar reservation leader Hardik Patel on Sunday said that he and his wife will together fight for 'Navnirman' of the country. He added, ""Our (collective) resolution is to fight collectively...for the truth, for the people and for equal rights."" He further said the resolution will be to ensure everyone gets equal opportunity."
Abuse me but don't mislead farmers: PM Modi to Opposition,"PM Narendra Modi on Sunday said the opposition can abuse him as much as it wants, but it shouldn't mislead farmers. ""Abuse me...but don't create hurdles in creating opportunities for our youth,"" he added. ""Opposition is bankrupt when it comes to...positive agenda for India's development. All they have is hatred for Modi,"" he further said."
"Amazon face recognition tech shows gender, race bias: Study","An MIT study has found that Amazon's facial recognition technology, 'Rekognition', showed both gender and race bias. As per the study, Rekognition was able to correctly identify light-skinned males but incorrectly identified dark-skinned women as men 31% of the time. Amazon disputed the results arguing that the researchers didn't use the current version of the software. "
Bezos' Blue Origin starts rocket engine plant's construction,"World's richest person Jeff Bezos' aerospace startup Blue Origin has started construction of its new rocket engine-making factory in the US' Alabama. The factory will produce 'BE-4' engines, used to power its New Glenn rocket and United Launch Alliance's Vulcan Centaur rocket. It'll also build 'BE-3U' engines used to power New Glenn rocket's second stage."
"Van headed to a funeral falls in Uttarakhand gorge, 8 dead","As many as eight people died and ten were injured when a van fell into a gorge in Uttarakhand's Champawat on Sunday. The deceased were taking the body of a woman for cremation when the accident happened, a police official said. The injured were rushed to nearby hospital from where three critically injured were airlifted to a hospital in Haldwani."
Can't ask teachers for duties outside RTE Act: Delhi HC,"The Delhi High Court has said that municipal corporations cannot ask school principals and teachers to perform duties outside the scope of Right of Children to Free and Compulsory Education (RTE) Act. It also set aside notifications requiring teachers to conduct household surveys. However, it said seeking teachers' help in opening students' bank accounts is ""justified"" but can't be mandatory."
Indian-origin brothers among UK's top 50 taxpayers: Report,"Indian-origin retailer brothers Simon Arora, Bobby Arora and Robin Arora have been ranked Britain's 24th highest taxpayers, according to a top 50 list compiled by The Sunday Times. The Arora family, behind the B&M chain of retail stores, paid nearly $34 million towards their 2017-18 tax bill, it added. Their wealth was estimated at $3 billion, the report further said."
Aurobindo recalls 5 lakh bottles of BP lowering drug in US,"Hyderabad-based drugmaker Aurobindo Pharma's US arm is recalling nearly 5 lakh bottles of blood pressure lowering drugs from the US market. This comes after certain deviations from Current Good Manufacturing Practice (CGMP) regulations were found in them. Notably, other pharmaceutical companies like Lupin and Sun Pharma recently recalled some drugs in the US due to presence of particulate matter."
Essel denies link with Nityank Infra in black money probe,"Subhash Chandra-led Essel Group companies Zee Entertainment and Dish TV have denied links with Nityank Infrapower and Multiventures, which is reportedly under probe over suspicious demonetisation deposits. Nityank Infra is an ""independent company and does not belong to Essel Group"", it added. The involvement of Essel Group in the probe is being done only with ""malicious intent"", it further said. "
"Who is Devarapalli Prakash Rao, tea seller honoured with Padma Shri?","Odisha's 59-year-old Devarapalli Prakash Rao, who was awarded with country's fourth highest civilian award Padma Shri this year, provides education and food to slum children. Rao contributed half of his income generated from tea selling to set up a school named 'Asha O Ashwasana' in Cuttack. Since 1978, he has also donated blood over 200 times and platelets seven times."
"Saw myself on big screen for 1st time, dream has come true: Ankita","Actress Ankita Lokhande, who made her Bollywood debut with 'Manikarnika: The Queen of Jhansi', took to social media and wrote, ""I saw myself on the big screen for the first time. Yes, my dream has finally come true."" ""Watching myself as #JhalkariBai in #Manikarnika...was an overwhelming experience,"" she added."
Actress Isha Koppikar joins BJP ahead of 2019 elections,"Actress Isha Koppikar on Sunday joined the BJP in the presence of Union Transport Minister Nitin Gadkari ahead of the 2019 Lok Sabha elections. Popularly known as the 'Khallas Girl', Isha forayed into Bollywood in the year 2000 with the film Fiza. Isha has been a part of hit films like Don, Salaam-e-Ishq and several others."
KL Rahul gets out for 13 in 1st match after return from suspension,"Batsman KL Rahul got out for 13 in his first professional match after return from suspension. Representing India A against England Lions in a one-day match at Thiruvananthapuram, Rahul faced 25 balls and hit two fours. The 26-year-old, who was caught out in the eighth over, had been suspended for his comments on women on 'Koffee with Karan'."
"Crowd boos Pujara by shouting 'cheater, cheater' during Ranji semi","The crowd at Bengaluru's M Chinnaswamy Stadium booed Saurashtra batsman Cheteshwar Pujara by chanting 'cheater, cheater' during the ongoing Karnataka-Saurashtra Ranji Trophy semi-final match. The 31-year-old batsman didn't walk despite being caught behind once each in both the innings. The umpire declared Pujara 'not out' on both occasions despite TV replays showing that Pujara had nicked the ball."
"Save farmers first, leave Ram Temple to SC: Akhilesh to Yogi",Former Uttar Pradesh CM Akhilesh Yadav on Sunday took a dig at the state CM Yogi Adityanath saying the government should save the farmers of the state first and leave the Ram Temple issue to the Supreme Court. His comment came a day after CM Adityanath said his government would resolve the Ram Temple issue in 24 hours.
B'luru bus conductor returns bag containing Ã¢Â‚Â¹1L to passenger,"A Bangalore Metropolitan Transport Corporation (BMTC) bus conductor returned a bag of a passenger containing Ã¢Â‚Â¹1 lakh in cash and other valuables on January 19. The passenger had taken the BMTC bus from the airport and had left the bag behind. After contacting the conductor, the passenger collected the bag from him at Whitefield depot."
"Sitharaman watches 'Uri', shouts 'How's the josh?' in theatre","Defence Minister Nirmala Sitharaman on Sunday watched the movie, ""Uri: The Surgical Strike"", along with a group of war veterans at a Bengaluru cinema hall. In a video posted by her on twitter, she can also be seen shouting 'How's the josh?' in the theatre. Sitharaman had on January 15 met the cast of the film on the Army Day."
US man who claimed to 'cure' gays with therapy comes out as gay,"America's David Matheson, a prominent anti-gay activist who was a practitioner of 'conversion therapy', which promotes the false idea that being gay is something that should be 'cured', has come out as gay. Matheson in a Facebook post said he has divorced his wife of 34 years. ""My shortcomings came from my own homophobia and narrow mindedness,"" Matheson said."
Banksy artwork dedicated to victims stolen from Paris attack venue,"An artwork painted by British street artist Bansky as a tribute to the victims of 2015 Paris terrorist attacks has been stolen from Bataclan theatre, where 90 people were killed. The mural was painted on an emergency door of the theatre and depicted a veiled woman gazing mournfully. The theatre described the theft as ""profound indignation that drives us today."""
Djokovic has a 100% record in Australian Open's final,"Serbian tennis player Novak Djokovic went past former world number one Pete Sampras' tally of 14 Grand Slam titles after winning his seventh Australian Open title on Sunday. With his seventh win, Djokovic extended his 100% record in the final of the Australian Open. Djokovic holds a winning head-to-head record over both Rafael Nadal and Roger Federer."
Kyrgios watches Fortnite Summer Smash at Australian Open,"Ahead of the Australian Open men's final, Australian tennis player Nick Kyrgios was seen watching Fortnite matches that were being played as a part of Australian Open's Fortnite Summer Smash. The event will see the winning duo take home a $50,000 prize. The event saw participation from 50 duos, one of which featured Kyrgios."
"Frenchmen Herbert, Mahut win Aus Open men's doubles title","The French pair of Pierre-Hugues Herbert and Nicolas Mahut beat 2017 champions Finn Henri Kontinen and Australian player John Peers 6-4, 7-6(7-1) to win their maiden Australian Open men's doubles title on Sunday. With the victory, Herbert and Mahut added the Australian Open title to their US Open, Wimbledon and French Open crowns to complete the career Grand Slam."
Almost quit football after 2016 Copa America: Higuain,"Argentina's Gonzalo Higuain revealed that he almost quit football after Argentina's loss in the Copa America 2016 final. Higuain said he wanted to quit football to look after his ailing mother. ""Her reply was that when I played football it made her happy. She told me that she would not allow me to give up something I loved,"" Higuain said."
Pakistan beat South Africa to level series 2-2,"Pakistan beat South Africa by eight wickets to level the ODI series 2-2 on Sunday. Pakistan completed their chase with 111 balls to spare. This is the first time Pakistan have beaten South Africa at the Wanderers, while it was the first loss for South Africa in a 'Pink' ODI. Usman Shinwari was named Man of the Match."
WhatsApp testing additional 'Media' menu features: Report,"According to WABetaInfo, WhatsApp is testing new features in its 'Media' menu including 'Show in chat'. On opening the 'Media' menu, Android users will be able to trace where the image was shared in the chat via the option. Individual options 'Use as wallpaper', 'Set as my profile picture' and 'Set as group icon' now reportedly under 'Set As...' option."
"Priyanka Gandhi has bipolar disorder, beats up people: Swamy","Talking about Priyanka Gandhi Vadra entering active politics, BJP MP Subramanian Swamy has claimed that Priyanka suffers from ""bipolarity"" and ""beats up people"". ""[Her ailment] reflects her violent character. It doesn't make her fit to lead a public life,"" he added. ""The public should know that no one knows when she will lose her mental balance,"" Swamy further said."
Shivpal Yadav to contest 2019 LS polls from UP's Firozabad,"Pragatisheel Samajwadi Party (Lohia) chief Shivpal Yadav on Saturday announced that he will contest the 2019 Lok Sabha elections from Uttar Pradesh's Firozabad constituency. Shivpal will fight against his nephew Akshay Yadav, the incumbent MP. Shivpal further said that in 2019, no government can be formed without his party's help and in 2022, PSP(L) will form the government in Lucknow."
"Nearly 4,500 cases pending per High Court judge: Govt","According to the National Judicial Data Grid, 4,419 cases are pending before each High Court judge, while 1,288 are pending before each lower court judge. The data also states that while the sanctioned strength of the High Courts is 1,079, the working strength is only 695. Further, there is a shortage of 5,135 judicial officers in the subordinate courts.n"
"Pune ward boy films woman undressing for MRI scan, arrested","A ward boy of a Pune hospital has been arrested for allegedly filming a woman as she changed her clothes for an MRI procedure. The incident came to light when the woman discovered a phone in the changing room and found her undressing clip in it. ""Ward boy asked her to change in...room different from the one designatedÃ¢Â€Â, police said."
PM Modi inaugurates BPCL's Kochi refinery expansion complex,"PM Modi on Sunday inaugurated an integrated Bharat Petroleum (BPCL) refinery expansion complex in Kerala's Kochi and dedicated the Ã¢Â‚Â¹16,504-crore investment to the nation. The complex would transform Kochi Refinery as the largest state-run refinery in the country, he said. He also laid the foundation stone for a petrochemical complex at the refinery and a skill development institute at Ettumanoor."
90% TV viewers will hopefully select channels by Feb 1: TRAI,"TRAI Chairman RS Sharma has said 90% TV viewer onboarding is expected before the February 1 deadline for migration to the new regulatory tariff for DTH and cable operators. The trend recorded over past few days indicated that 100% onboarding will be reached ""soon"", he added. TRAI had stated last week that 40% of consumers have already exercised their options."
"82 plots, Ã¢Â‚Â¹2cr cash found during raid on IRS officer in Raj","In a raid conducted at the Jaipur residence of Indian Revenue Service (IRS) officer Sahi Ram Meena, the Anti Corruption Bureau has recovered around Ã¢Â‚Â¹2.3 crore in cash. Jewellery worth Ã¢Â‚Â¹6 lakh, documents related to 82 pieces of land, 25 shops, among others, were also recovered, police said. Meena, currently posted as Deputy Commissioner (Narcotics) in Kota, has been arrested."
Over 5 lakh villages declared open defecation free: PM Modi,"PM Narendra Modi on Sunday said that over 5 lakh villages in India have been declared open defecation free (ODF) and 98% of rural India is under sanitation coverage. He added that 9 crore households have been provided with toilets. ""India is moving towards liberation from open defecation much prior to the target of October 2, 2019,"" he further said."
India keeps off WTO negotiations on new e-commerce framework,"Over 70 World Trade Organization (WTO) member countries agreed to discuss new e-commerce framework while other member countries including India decided to keep off it. ""We don't think the time is right for the country to take on multilateral obligations in...e-commerce rules,"" a government official reportedly said. The announcement to start negotiations was made at the World Economic Forum 2019."
Saudi Arabia seeks $430 bn in investments for infrastructure,"Saudi Arabia's Energy Minister Khalid al-Falih said the kingdom is seeking nearly $430 billion in investment by 2030 for infrastructure and other industrial projects in order to cut its reliance on oil. The programme will integrate the mining, industry and energy sectors, he added. The initiative is part of Crown Prince Mohammed bin Salman's Vision 2030 plan for the kingdom. "
Vedanta too big to have a family succession plan: Chairman,"Vedanta Founder and Chairman Anil Agarwal has indicated that his son or daughter may not head the group as it is ""too big to have a family succession plan"". ""[My children] have their own passion... and they are doing very well,"" he added. He further said he has appointed ""extremely capable CEOs and executives"" to run the company."
Djokovic beats Nadal to win his record 7th Australian Open title,"World number one Novak Djokovic defeated world number two Rafael Nadal in straight sets in the men's singles final on Sunday to win Australian Open for a record seventh time. This is the third time that the 31-year-old Serbian has won three consecutive Grand Slams titles. Djokovic has now won 15 Grand Slam titles, third-most by a male tennis player."
Patidar leader Hardik Patel marries childhood friend Kinjal Parikh,"Patidar quota's 25-year-old leader Hardik Patel on Sunday married Kinjal Parikh, his childhood friend to whom he was engaged for a while, at a temple in Digsar village of Gujarat's Surendranagar district. Parikh is a commerce graduate who is currently pursuing Law degree. The two-day wedding ceremony was a low-key affair attended by around 100 close friends and family members."
SC not to hear Ayodhya case on Jan 29 over non-availability of judge,"The Supreme Court on Sunday postponed the 5-judge constitution bench hearing on Ayodhya case, scheduled for January 29 this year, due to the non-availability of Justice SA Bobde. Chief Justice of India Ranjan Gogoi had reconstituted the bench to hear the case. He had included Justice Ashok Bhushan and Justice Abdul Nazeer on the bench."
CBI officer who probed ICICI Bank's Chanda Kochhar case transferred,"CBI officer-in-charge Sudhanshu Dhar Mishra, who lodged an FIR into the alleged irregularities in loan disbursement by ICICI Bank, was transferred from Delhi to Jharkhand. The development comes after CBI charged ICICI Bank's former MD and CEO Chanda Kochhar, her husband Deepak Kochhar and Videocon's VN Dhoot for cheating and conspiracy. Dhar had signed FIR against them on January 22."
"Love-making is personal to me, I can't do it onscreen: Amrita Rao","Amrita Rao has said she's uncomfortable doing love-making scenes, while adding, ""Love-making is so personal to me...if I do it on screen, it's like I'm leaving a part of my soul. I cannot do that,"" she added, ""I'm not saying it's wrong...it's the reflection of how our society has changed."" ""It's just about a choice...we all make,"" Amrita further said."
Bal Thackeray said 'Sanjay Dutt can't be terrorist': Sister Priya,"Sanjay Dutt's sister Priya Dutt has said their family would forever be grateful to late Shiv Sena founder Bal Thackeray for supporting Sanjay when he was charged under TADA Act. ""There was one voice, who said 'this boy cannot be...terrorist because his family has always worked for the people of the country'. That was the voice of Balasaheb,"" she added."
Was told it was mock audition during audition for debut film: Bhumi,"Actress Bhumi Pednekar has revealed that she didn't know she was actually being auditioned during her audition for her debut film 'Dum Laga Ke Haisha' as casting director Shanoo Sharma had told her that it was a ""mock audition"". ""I guess when Sharat Katariya, my director...kind of liked my work, they told me 'We were actually auditioning you',"" she added. "
Divyanka called out for wearing copy of Sabyasachi tiger motif belt,"Television actress Divyanka Tripathi has been called out by Instagram page Diet Sabya for wearing a copy of designer Sabyasachi's tiger motif belt. The caption in the post reads, ""You've to live under a giant rock to not know that this is an iconic @sabyasachiofficial belt. NO excuses!!"" The belt that Divyanka is wearing in the photo is from 'Rimayu'."
'Nari Shakti' named Hindi Word of the Year by Oxford Dictionaries,"'Nari Shakti' (women empowerment) has been chosen as the Hindi Word of the Year 2018 by Oxford Dictionaries. The announcement was made during a session at the Jaipur Literature Festival. ""'Nari Shakti' drew focused attention in 2018 thanks to concerted efforts by the Government of India and Hindi speakers nationwide to realize aims for inclusive development,"" read Oxford Dictionaries' blog."
India's bullet train to say 'sorry' even if it gets late by a minute,"India's bullet train service will say ""sorry"" to every passenger even if the train is delayed by only a minute, the National High Speed Rail Corporation (NHSRCL) has decided. The Ahmedabad-Mumbai bullet train will see 70 trips per day, running at 320 kms per hour. The fares are expected to be around 1.5 times the fare of AC First Class."
Atmosphere of mistrust being created over 10% quota in TN: PM,"Prime Minister Narendra Modi on Sunday said an atmosphere of ""mistrust"" was being created in Tamil Nadu by a ""few people"" to serve their ""interest"" over 10% quota for the EWS of the general category. He added, ""I urge all of you to remain vigilant against such negativity."" He said any political thought which ""opposes poor"" can't ""ever benefit anyone""."
Naveen Patnaik shaken with BJP's rise: Dharmendra Pradhan,"Union Minister Dharmendra Pradhan on Sunday said Odisha Chief Minister Naveen Patnaik was ""shaken"" with the BJP's rise. He added Patnaik is spreading speculations that he may support the BJP fearing the credibility of PM Narendra Modi in the state. He said, ""We are sure to emerge as the number one party and also get a majority in the assembly."""
India to soon mark presence on Moon with Chandrayaan-2: PM,"Prime Minister Narendra Modi on Sunday said that India will soon mark its presence on the Moon with Chandrayaan-2 mission. In his 52nd episode of 'Mann ki Baat', the PM added that India has created a world record for launching ""104 satellites simultaneously"" from the ""same spacecraft"". He said India now propels satellites of both the developing and developed nations."
"MP teacher hits car accelerator instead of brake, 8 students injured","As many as eight students were injured in Madhya Pradesh's Seoni on Saturday after a school teacher mistakenly pressed his new car's accelerator instead of the brake, leading to the car ramming into the students. The students were having their mid-day meal when the car rammed into them. The teacher identified as Krishna Kumar has been arrested."
'Train 18' named 'Vande Bharat Express': Piyush Goyal,"Railways Minister Piyush Goyal on Sunday said that India's fastest indigenous train, Train 18, will now be known as ""Vande Bharat Express"". The train will run between Delhi and Varanasi at a maximum speed of 160 km per hour. The 16-coach train was built in 18 months at a cost of Ã¢Â‚Â¹97 crore by the Integral Coach Factory, Chennai."
I think clothes should be gender neutral: Sonam Kapoor,"Actress Sonam Kapoor has said that she believes a lot in gender fluidity, adding, ""I think clothes should be gender neutral, in general."" ""For me, it is very exciting to wear clothes people perceive as menswear and when I see men wear clothes, which people perceive as womenswear, I think it is very cool...it's more rebellious than louder,"" she added."
"Sunny Kaushal, Harrdy Sandhu to star in Ranveer's '83: Report","Sunny Kaushal, Harrdy Sandhu and Tahir Raj Bhasin will star in Ranveer Singh's upcoming film '83, as per reports. Directed by Kabir Khan, the film is based on India's win in the 1983 Cricket World Cup. Ranveer will be portraying former Indian cricketer Kapil Dev while Punjabi singer-actor Ammy Virk will be seen as Balwinder Singh Sandhu in the film."
"India A win 3rd straight one-day vs England Lions, clinch series",The India A side clinched the unofficial one-day series after defeating England Lions by 60 runs in the third unofficial one-day match at Greenfield International Stadium in Thiruvananthapuram. Left-arm spinner Krunal Pandya's 4/21 from 5.5 overs helped India register their win. The 27-year-old also contributed with the bat by scoring a 23-ball 21.
WI's Chase picks 8 in 2nd innings as England lose first Test,Windies spinner Roston Chase picked up eight wickets in the second innings to help his side beat England by 381 runs in the first Test. The defeat is England's joint seventh-heaviest in terms of runs in Test cricket. Windies captain Jason Holder was named Man of the Match after he scored a double ton in the second innings.
Jason Holder becomes number 1 Test all-rounder,Windies captain Jason Holder became the top-ranked all-rounder in Test cricket after his efforts with both the bat and the ball helped his side defeat England in the first Test on Saturday. Holder picked up two wickets in the first innings of the match and scored an unbeaten double hundred in the second innings.
Facebook to discontinue its 'Moments' app on February 25,"Facebook will discontinue its standalone private photo and video-sharing app 'Moments', launched in 2015, on February 25 later this year. Users can retrieve the content stored on the app by either storing it on Facebook or downloading it to their device via a Facebook link. Facebook attributed the discontinuation to lesser people using the app but didn't share user numbers."
Bengaluru student lending startup SlicePay gets NBFC licence,"Bengaluru-based student lending startup SlicePay has secured ""(Non-Banking Financial Company) NBFC licence"" from the Reserve Bank of India. The startup's Co-founder Rajan Bajaj confirmed the same, tweeting, ""With this regulatory comfort, we will run more aggressively towards our goal"". Founded in 2015, SlicePay lets students make purchases online on monthly installments, without any collateral."
Unfortunate that no Bharat Ratna for saints in 70yrs: Ramdev,"Yoga guru Baba Ramdev on Sunday said it was unfortunate that not even one 'sanyasi' (saint) was awarded the Bharat Ratna in the last 70 years. ""Be it Maharishi Dayanand Saraswati or Swami Vivekananda or...Shivakumara Swami ji, all...have contributed so much,"" he added. He further appealed to the Centre to give Bharat Ratna to a saint the next time."
30% increase in UG medical seats in last 4.5 years: PM Modi,"Prime Minister Narendra Modi on Sunday said, ""The numbers of undergraduate medical seats have been increased by almost 30% in the last 4.5 years."" ""The launch of Ayushman Bharat is also a big step,"" he added. He further said that 1.5 lakh health and wellness centres are being set up to provide comprehensive primary care and preventive health services."
Cost too high: Malaysia scraps $20 bn China-backed rail plan,"Malaysia's Economic Affairs Minister on Saturday said the country will cancel its $20-billion East Coast Rail Link (ECRL) project with contractor China Communications Construction. ""The... cost to develop the ECRL is too big and we don't have [the] financial capacity,"" he added. Malaysia had in August 2018 cancelled a natural gas pipeline project which was also backed by China."
"Won't retire soon, Vedanta needs my aggression: Chairman","Vedanta Resources Founder and Chairman Anil Agarwal said he won't retire soon and added the conglomerate's growth requires his ""aggression"" and ""risk-taking"" ability. ""Why should I hang [my boots]. I have a task [to finish],"" he said. ""Nobody can think of producing [5,00,000] barrels oil in such a short time... you [must] take the bull by the horn,"" he added.  "
Lupin's Indore facility fails to clear regulatory test again,Drugmaker Lupin on Saturday said it has again received six observations from the US health regulator after the inspection of its Indore facility in Madhya Pradesh. The company's Indore and Goa facilities had received a warning in 2017 over quality control issues. The Mumbai-based drugmaker recently recalled drugs from the US market due to the presence of particulate matter.
Nehwal wins Indonesia Masters after Marin pulls out with injury,Saina Nehwal became the first Indian woman to win Indonesia Masters title after her opponent Carolina Marin pulled out due to injury during the first game in the final. Marin was leading the first game 10-4 before being forced to retire due to a knee injury. Nehwal had finished as runner-up in the 2018 edition of the tournament.
Student calls in fake airplane bomb threat to stop parents' visit,"A student in France has been accused of calling in a hoax bomb threat on an easyJet flight to stop his parents from visiting him. The 23-year-old youth made an anonymous call regarding the bomb, causing a flight from Lyon to Rennes to turn around on January 18. He was arrested after it was discovered he made a hoax threat."
NZ Police jokingly issue warning against India for 'assaulting' NZ,"New Zealand Police trolled New Zealand cricket team on Facebook after Team India took a 2-0 ODI series lead. They jokingly issued a warning, saying witnesses reported India ""badly assaulting an innocent looking bunch of New Zealanders"" in Napier and Mount Maunganui. ""Extra care should be taken if you're carrying anything that looks like...bat or ball,"" the post further read."
Djokovic-Nadal Aus Open 2012 final was longest Grand Slam final ever,"The Australian Open 2012 men's singles final match between Novak Djokovic and Rafael Nadal was the longest Grand Slam title match (by duration) in history. The match, which Djokovic won 5-7, 6-4, 6-2, 6-7(5-7), 7-5, lasted five hours and 53 minutes. It overtook the record previously set by the 1988 US Open final between Mats Wilander and Ivan Lendl."
"Bhai, aisa daalega to rakh le tu: Dhoni to Jadhav on field placement","During the 20th over of New Zealand's innings in the second ODI, India wicketkeeper MS Dhoni, while instructing Kedar Jadhav, said, ""Bhai, aisa daalega toh rakh le tu (If you bowl like this...it is better to keep a fielder in the deep)."" This was after Jadhav bowled wider outside off to Henry Nicholls despite Dhoni instructing him to bowl tighter."
Pak captain Sarfaraz banned for 4 matches over 'Abey Kaale' remark,Pakistan captain Sarfaraz Ahmed has been banned for four matches for breaching the ICC's Anti-Racism Code. Sarfaraz had called South Africa all-rounder Andile Phehlukwayo 'Abey Kaale' during the second ODI between the teams at Durban on Tuesday. Sarfaraz will miss the remaining two matches of the ongoing ODI series and the first two matches of the upcoming T20I series.
Phone of UP policeman killed in mob violence found at accused's home,"The Uttar Pradesh police on Saturday recovered the mobile phone of late Subodh Kumar Singh, the policeman who was killed in mob violence in Bulandshahr last year. The phone was recovered from the killing's main accused Prashant Natt's house. ""Probe is underway. Search for the pistol is still underway,"" City SP Atul Srivastava said."
Bangladeshi politician trampled to death by elephant in West Bengal,"Syed Saymoon Kanak, media secretary of Jatiya Samajtantrik Dal of Bangladesh, was trampled to death by a wild elephant in West Bengal on Friday evening. Kanak, along with his wife and friends, had visited Lataguri in Jalpaiguri district for a jungle safari. While returning, Kanak went near the animal to take photographs when it caught him with its trunk."
"27 killed, 77 injured in twin blasts at church in Philippines","At least 27 people were killed and 77 others injured after two bombs exploded at a Roman Catholic cathedral on Jolo island in southern Philippines on Sunday. The first blast occurred inside the church while mass was being celebrated, and was followed by a second explosion in the parking lot, according to officials. There was no immediate claim of responsibility. "
Girls subjected to 'breast ironing' in UK to 'protect' them from rape,"An African practice of ""ironing"" a girl's chest with a hot stone to delay breast formation is spreading in the UK, a report by The Guardian revealed. The perpetrators, usually mothers, consider it a traditional measure which protects girls from sexual harassment and rape. The United Nations describes it as one of five global under-reported crimes relating to gender-based violence."
Indonesian billionaire known for Asia's biggest default dies at 98,"Sinar Mas Group Founder Eka Tjipta Widjaja, who had a net worth of $9.3 billion, passed away on Saturday in the Indonesian capital Jakarta at the age of 98. The Indonesian tycoon of Chinese origin is known for the $14-billion default by his flagship Asia Pulp & Paper, the worst corporate default in Asia, after the 1998 Asian financial crisis. "
'Dilwale Dulhania Le...' transformed me as an actor: Parmeet,"Parmeet Sethi, who played the role of Kuljeet in 1995 film 'Dilwale Dulhania Le Jayenge' [DDLJ], said the film helped him to transform as an actor. ""Honoured to be a part of such big film...With 'Dilwale Dulhania Le Jayenge' I got to perform a negative role on screen and that's how I started getting more grey shades roles,"" he added."
Vicky Kaushal to replace SRK in Rakesh Sharma biopic: Report,"Actor Vicky Kaushal will replace Shah Rukh Khan in Rakesh Sharma's biopic titled 'Saare Jahaan Se Achcha', as per reports. ""The makers seem convinced that Vicky will do full justice to the role of Rakesh Sharma, if not Shah Rukh,"" stated reports. Earlier, there were reports that Shah Rukh has opted out of the biopic for Farhan Akhtar's 'Don 3'. "
"Mom could say things and get away with it, I cannot: Sara","Actress Sara Ali Khan, while talking about how things have changed since her mother Amrita Singh's time, said, ""Mom could say something and get away with it...But now, it will be like, headlines."" Quoting her mother Amrita, Sara said, ""One could get away with a lot more back then, than you do now."" Sara made her Bollywood debut with 'Kedarnath'. "
In 2-3 years my sons might enter the film industry: Archana,"Talking about her sons Aaryamann and Ayushmaan, Archana Puran Singh, said, ""They have a plan to enter into the industry...in two-three years, I hope they would be able to fulfil their dreams."" She added that currently her sons are studying and learning drama and theatre. ""It's up to them how much hard work they are willing to put,"" Archana said."
Not true: Saif on playing Sara's father in 'Love Aaj Kal 2',"Denying the reports that said Saif Ali Khan will be playing the role of Sara Ali Khan's father in Imtiaz Ali's 'Love Aaj Kal 2', Saif said, ""It is not true at all."" Earlier, there were reports that Sara and Kartik Aaryan will star in the sequel to the 2009 film 'Love Aaj Kal', which starred Saif and Deepika Padukone."
Can't eat dal-chawal all day: Shreyas on doing same kind of roles,"Shreyas Talpade has said, ""One can't eat 'dal-chawal' all day, otherwise you would get bored. Similarly, we actors...get bored if we keep doing the same kind of roles in each film."" He added that it's very important to do something different from the comfort zone. ""Would be challenging...to convince people that I can do more than comedy,"" he said."
"Anil, Madhuri recreate Ram Lakhan song on film completing 30 yrs","On the occasion of their 1989 film 'Ram Lakhan' completing 30 years since its release on Sunday, Anil Kapoor and Madhuri Dixit shared a video wherein both recreated 'My Name Is Lakhan' song from the film. In another post, Anil Kapoor wrote, ""It's been one of my greatest joys to watch 'Lakhan' continue to bring a smile to people's faces."""
